endTime,artistName,trackName,msPlayed
2022-06-28 21:08,Camélia Jordana,Moi c'est,3404
2022-06-28 21:08,Luce,"C'est ça l'amour - Extrait de ""Cendrillon""",6490
2022-06-28 21:08,Iliona,Moins joli,6483
2022-06-28 21:08,Paradis,Toi Et Moi,2538
2022-06-28 21:08,Lucienne Delyle,Le Paradis Perdu,1854
2022-06-28 21:12,Lana Del Rey,Dark But Just A Game,211228
2022-06-28 21:15,Lana Del Rey,Video Games,170261
2022-06-28 21:16,Lana Del Rey,Violets for Roses,84615
2022-06-28 21:30,Lana Del Rey,Million Dollar Man,156363
2022-06-29 05:23,Videoclub,Amour plastique,148874
2022-06-29 05:24,Françoise Hardy,Tous les garçons et les filles - Slow,86583
2022-06-29 05:27,mxmtoon,creep,172828
2022-06-29 05:30,Stromae,L’enfer,189720
2022-06-29 05:40,The Neighbourhood,Nervous,909
2022-06-29 05:46,Gang of Youths,Achilles Come Down,163189
2022-06-29 08:59,Videoclub,Amour plastique,227026
2022-06-29 09:02,Chica Sobresalto,Fusión del Núcleo,185212
2022-06-29 09:04,City and Colour,The Way It Used to Be - Bonus,92502
2022-06-29 09:15,Françoise Hardy,Tous les garçons et les filles - Slow,26676
2022-06-29 11:38,Videoclub,Amour plastique,64200
2022-06-29 11:40,mxmtoon,creep,79918
2022-06-29 11:42,Stromae,L’enfer,117247
2022-06-29 11:42,WAR*HALL,Last One Standing,709
2022-06-29 11:44,Shawn James,Burn the Witch,114834
2022-06-29 11:48,Grace Carter,Wicked Game,1113
2022-06-29 11:48,RAIGN,Knocking on Heavens Door,203079
2022-06-29 11:51,Tanxugueiras,Terra,87040
2022-06-29 12:11,Poor Man's Poison,Hell's Comin' with Me,94273
